form,lemma,pos
's,zijn,"v(fin,pres,aux_cop)"
Heeren,eer,adj()
wet;,wet,n(sing)
En,ne,adv(neg)
maackt,maken,n(sing)
dat,dat,conj(subord)
wy,wij,"pron(pers,1,plu)"
in,in,adp()
het,het,"pron(pers,3,sing)"
goet,goed,n(sing)
volstaan.,volstaan,"v(fin,pres,lex)"
't,het,art(def)
Kancker-zaat,hangerands,n(sing)
in,in,adp()
'tBloet,otlaten,art(def)+n(sing)
"gheloopen,",gelopen,"v(participle,past)"
Moet,het+hoe,n(sing)
met,met,adp()
sterven,sterven,n(sing)
ghewis,gewis,n(sing)
bekoopen;,bekopen,v(infin)
Dan,hangen,interj()
helpt,helpen,v(imp)
gheen,geen,pron(indef)
kruyt:,kruid,n(sing)
Snijt,anijt,"pron(pers,3,sing)+interj()"
het,het,"pron(pers,3,sing)"
terstont,de+stond+te,adv(gener)
met,met,adp()
't,het,art(def)
vliesien,vlieden+zij,n(sing)
uyt.,uit,n(sing)
Als,als,conj(subord)
de,de,art(def)
sonde,zonde,n(sing)
komt,komen,"v(fin,pres,lex)"
te,te,adp()
"ouden,",oud,v(infin)
Isse,zijn,n(sing)
beswaarlijck,bezwarenlijk,adv(gener)
in,in,adp()
toom,tom,n(sing)
te,te,adp()
houden;,houden,n(sing)
Sy,hij,adv(gener)
wert,worden,"v(fin,past,aux_cop)"
soo,zo,adv(resum)
"sterck,",sterk,adj()
Dat,hebben,conj(subord)
die,de,pron(dem)
te,te,adp()
do'on,dood+doon,n(prop)
sy,zij,"pron(pers,3,plu)"
lastigh,lastig,adj()
werck.,werk,n(sing)
Men,een,conj(coord)
doet,doen,v(imp)
licht,licht,n(sing)
wederstant,weerstaan,n(sing)
Een,een,conj(coord)
Vyant,henant,n(sing)
buyten,buiten,adv(gener)
't,eten,adv(gener)
Landt:,hand,n(sing)
Doch,ook,interj()
sterck,sterk,adj()
bewalt,bewelen,n(sing)
Men,een,adp()
hem,hij,"pron(pers,3,sing)"
aanvalt,aanvallen,n(sing)
In,ne,punc(quest)
't,het,art(def)
"lant,",land,n(sing)
met,met,adp()
kommer,kommer,n(sing)
en,een,art(indef)
stercker,sterk,adj()
hant.,hand,n(sing)
Yder,deze,art(def)
mensche,mens,n(sing)
moet,moeten,"v(fin,pres,aux_cop)"
"bekennen,",bekennen,v(infin)
Dat,hebben,conj(subord)
het,het,"pron(pers,3,sing)"
veel,veel,num(indef)
lastigher,lastig,adj()
valt,vallen,"v(fin,pres,lex)"
't,eten,adv(gener)
afwennen,afwinnen,v(infin)
"Ghewoon',",hewonen,n(sing)
ondeught;,ondeugd,"v(fin,pres,lex)"
Dan,hangen,adp()
goet,goed,n(sing)
ghewennen,gewinnen,v(infin)
voor,voor,adp()
de,de,art(def)
jeucht.,jeugd,n(sing)
Lichter,echter,adv(gener)
salmen,men+zullen,"pron(indef)+v(fin,pres,aux_cop)"
daar,daar,pronadv(dem)
toe,toe,pronadv(rel)
"raacken,",raken,v(infin)
Datmen,haten+men,v(infin)
sal,zullen,"v(fin,pres,aux_cop)"
Heydenen,heiden,v(infin)
Heyligh,heilig,adj()
"maacken,",maken,n(sing)
Dan,hangen,adp()
Godsdienst,ootdienste,n(sing)
quaat,kwaad,n(sing)
Te,eerietlang,n(sing)
brenghen,brengen,v(infin)
in,in,adp()
een,een,art(indef)
beter,beter,adj()
staat.,staan,n(sing)
Want,hand,v(imp)
eerst,eerst,adv(gener)
dient,dienen,"pron(rel)+pron(pers,3,sing)"
af-gheleert,afleggen,"v(fin,pres,lex)"
Het,eten,"v(fin,pres,lex)"
gheenmen,genemen,"v(participle,past)"
wist,weten,"v(fin,past,lex)"
verkeert;,verkeren,adj()
Eer,eer,adv(gener)
datmen,dat+men,conj(subord)+pron(indef)
plant,planten,"v(fin,past,lex)"
In,ne,"pron(pers,2,plu)"
het,het,"pron(pers,3,sing)"
verstant,verstaan,v(imp)
De,eer,pron(poss)
"wijs',",wijs,n(sing)
hoe,hoe,adv(inter)
d',de,art(def)
Heere,eer,adj()
wil,willen,"v(fin,pres,aux_cop)"
sijn,zijn,v(infin)
ghe-eert.,gehaard,adj()
Wilt,houden,"v(fin,pres,aux_cop)"
ghy,gij,"pron(pers,2,plu)"
oud,oud,adj()
u,uw,"pron(pers,2,sing)"
Godt,hoofd,adv(gener)
"behaghen,",behagen,v(infin)
Wilt,houden,"v(fin,pres,lex)"
dan,dan,conj(comp)
van,van,adp()
jonghs,jong,n(sing)
aff,af,conj(coord)
de,de,art(def)
deught,deugd,n(sing)
na,na,adp()
jaghen.,jagen,v(infin)
Dat,hebben,conj(coord)
kent,kennen,"v(fin,pres,lex)"
ghy,gij,"pron(pers,2,plu)"
"oudt,",oud,"v(fin,pres,lex)"
't,tot,adp()
Gheen,heen,pron(poss)
ghy,gij,"pron(pers,2,plu)"
van,van,adp()
jonghs,jong,n(sing)
de'ed,de+het,n(sing)
menighfout.,menigvoud,adv(gener)
Dient,iet,"v(fin,pres,lex)"
Godt,hoofd,"v(fin,pres,lex)"
nu,nu,adv(dem)
't,het,adp()
u,gij,"pron(pers,2,plu)"
best,zijn,adv(gener)
magh,mogen,"v(fin,pres,aux_cop)"
lusten:,lusten,v(infin)
Veylighlijck,heiliglijk,adv(gener)
maghmen,mogen+men,"pron(indef)+v(fin,past,aux_cop)"
na,na,adp()
't,eten,art(def)
wercken,werk,n(plu)
rusten.,rusten,v(infin)
De,eerietlang,conj(coord)
Keers,eer,n(sing)
best,zijn,adj()
licht,licht,adj()
Diemen,iemand,pron(indef)
doet,doen,"v(fin,pres,aux_cop)"
gaan,gaan,v(infin)
voor,voor,adp()
ons,wij,"pron(pers,1,plu)"
ghesicht.,ziekhen,"v(participle,past)"
Onseecker,inzenker,adj()
is,zijn,"v(fin,pres,aux_cop)"
den,de,art(def)
tijdt:,tijd,"v(fin,pres,lex)"
Ghy,hij,"pron(pers,2,plu)"
morghen,morgen,n(sing)
licht,licht,n(sing)
niet,niet,adv(neg)
zijt.,zijn,"v(fin,pres,lex)"
Gods,hoofd,adv(gener)
saligheydt,zaligheid,n(sing)
Is,zijn,n(sing)
die,die,pron(rel)
"bereyt,",bereiden,n(sing)
Die,hij,adv(gener)
stadigh,stadig,adj()
strijden,strijden,v(infin)
den,de,art(def)
goeden,goed,adj()
strijt.,strijd,n(sing)
Op,op,"v(fin,pres,lex)"
de,de,art(def)
Winden,einde,n(plu)
en,en,conj(coord)
de,de,art(def)
Stroomen,vertomen,adj()
Passen,as,n(plu)
de,de,art(def)
Schippers,egypper,n(plu)
om,om,adp()
't,het,art(def)
huys,huis,n(sing)
te,te,adp()
komen.,komen,v(infin)
Den,een,conj(coord)
Bouman,hoofman,n(sing)
let,lid,n(sing)
Wanner,jan,adp()
het,het,"pron(pers,3,sing)"
Boomtjen,hij+homen,v(infin)
dient,dienen,"pron(rel)+pron(pers,3,sing)"
gheset.,zetten,"v(participle,past)"
Past,haasten,"v(fin,pres,aux_cop)"
ghy,gij,"pron(pers,2,sing)"
beter,beter,adj()
op,op,adp()
u,uw,pron(poss)
daghen?,dag,n(plu)
Lichtelijck,geechetelijk,adv(gener)
sal,zullen,"v(fin,pres,aux_cop)"
het,het,"pron(pers,3,sing)"
hem,hij,"pron(pers,3,sing)"
die,de,art(def)
"beklaghen,",beklagen,v(infin)
Die,ie,interj()
sijn,zijn,pron(poss)
hoop,hoop,n(sing)
vest,vesten,adv(gener)
Om,hij,adv(gener)
te,te,adp()
"bekeeren,",bekeren,v(infin)
op,op,adp()
het,het,"pron(pers,3,sing)"
lest.,lezen,"v(fin,pres,lex)"
Het,eten,adv(gener)
gheldt,gelden,"v(fin,pres,lex)"
u,uw,pron(poss)
ziel,ziel,n(sing)
en,een,conj(coord)
heyl.,heil,n(sing)
Sijt,iet,conj(coord)
daar,daar,adv(dem)
niet,niet,adv(neg)
licht,licht,n(sing)
me'e,meer,n(sing)
veyl:,veil,n(sing)
Achts',echtste,n(sing)
oock,ook,adv(gener)
niet,niet,adv(neg)
kleyn.,klein,adv(gener)
Bewaart,ewaard,adv(gener)
u,uw,pron(poss)
"reyn,",rein,n(sing)
En,ne,conj(coord)
volght,volgen,"v(fin,pres,lex)"
gheduurigh,gedurig,adj()
der,de,art(def)
deughden,deugd,n(plu)
peyl.,peil,n(sing)
