form,lemma,pos
is,zijn,"v(fin,pres,aux_cop)"
'er,eer,adv(gener)
niet.,niet,adv(neg)
Zaagt,hachten,n(sing)
gy,gij,"pron(pers,2,plu)"
hier,hier,adv(dem)
"diamanten,",diamant,v(infin)
En,in,adp()
"paarlen,",paralen,n(plu)
prachtig,prechtig,adj()
mensch!,mens,adj()
Met,eten,n(sing)
"strikken,",strijken,v(infin)
"krullen,",krullen,n(prop)
kanten;,kant,n(plu)
Dat,haten,adv(gener)
was,zijn,"v(fin,past,aux_cop)"
uw,uw,pron(poss)
hartenwensch:,hartwengen,adj()
Maar,haar,n(sing)
een,een,art(indef)
geringen,gering,adj()
windeldoek,wendeldoek,n(sing)
Versmeet,eerst+het,v(imp)
gy,gij,"pron(pers,2,plu)"
in,in,adp()
een,een,art(indef)
hoek.,hoek,n(sing)
't,het,conj(coord)
Moest,oogst,adj()
ander,ander,adj()
tooizel,toezel,n(sing)
"wezen,",wezen,n(sing)
Dat,hebben,conj(coord)
van,van,adp()
u,gij,"pron(pers,2,plu)"
wiert,worden,adv(gener)
geprezen.,prijzen,"v(participle,past)"
Hoe,hoe,interj()
nauw,nauw,n(sing)
gy,gij,"pron(pers,2,plu)"
"ziet,",zien,"v(fin,pres,aux_cop)"
hoe,hoe,adv(inter)
nauw,nauw,"v(fin,pres,lex)"
gy,gij,"pron(pers,2,plu)"
"ziet,",zien,"v(fin,pres,aux_cop)"
Uw,owee,adv(gener)
Pronkkas,hennok,n(sing)
is,zijn,"v(fin,pres,aux_cop)"
'er,eer,"pron(pers,2,plu)"
niet.,niet,adv(neg)
O!,!,adv(neg)
hield,houden,n(sing)
men,men,pron(indef)
daar,daar,adv(dem)
"Zaletten,",halen+het,v(infin)
Met,eten,adp()
dertelheid,dertigheid,art(def)+n(sing)
en,ne,adv(neg)
"spel,",spel,"v(fin,past,lex)"
En,ne,conj(coord)
danste,dansen,"conj(subord)+pron(pers,3,sing)"
m',m,n(sing)
'er,eer,pron(poss)
baletten:,balten,n(prop)
Dan,hangen,adv(gener)
was,zijn,"v(fin,past,aux_cop)"
't;,.,"pron(pers,3,sing)"
het,het,"pron(pers,3,sing)"
is,zijn,"v(fin,pres,aux_cop)"
hier,hier,adv(dem)
"wel,",wel,adv(gener)
O,het,"pron(pers,2,plu)"
vleesch'lyk,vleselijk,adv(gener)
Mensch!,eens,adj()
Maar,haar,n(sing)
wat,wat,pron(inter)
vermaakt,vermaken,"v(fin,pres,lex)"
Een,een,adv(neg)
Kind,eind,"v(fin,pres,lex)"
zo,zo,adv(resum)
arm,arm,adj()
en,ne,adv(neg)
naakt?,naakt,"v(fin,pres,lex)"
Slechts,licht,"v(fin,pres,lex)"
in,in,adp()
een,een,art(indef)
stal,stal,n(sing)
"gevonden,",vinden,"v(participle,past)"
En,en,punc(quest)
zo,zo,adv(resum)
gering,gering,adj()
bewonden?,bewinden,"v(participle,past)"
Hoe,hoe,interj()
nauw,nauw,n(sing)
gy,gij,"pron(pers,2,plu)"
"ziet,",zien,"v(fin,pres,aux_cop)"
hoe,hoe,adv(inter)
nauw,nauw,adv(gener)
gy,gij,"pron(pers,2,plu)"
"ziet,",zien,"v(fin,pres,aux_cop)"
't,et,conj(coord)
Zalet,halen,adj()
en,ne,adv(neg)
is,zijn,"v(fin,pres,aux_cop)"
'er,eer,adv(gener)
niet.,niet,adv(neg)
Vond,mond,adp()
gy,gij,"pron(pers,2,plu)"
'er,heer,adv(gener)
Bier,hier,n(sing)
en,ne,conj(coord)
"Wynen,",einen,"v(fin,pres,lex)"
En,ne,adv(neg)
gaf,geven,"v(fin,past,lex)"
m',men,pron(indef)
'er,haar,pron(poss)
vry,vrij,adj()
"gelag,",geliggen,"v(fin,past,lex)"
Gy,ei,adv(gener)
zoud,zullen,"v(fin,past,aux_cop)"
daar,daar,adv(dem)
meê,men,adv(gener)
verschynen;,verschijnen,v(infin)
O,.,conj(coord)
Zuiper!,euper,n(sing)
nacht,nacht,n(sing)
en,in,adv(neg)
dag.,dag,n(sing)
Maar,zij,n(sing)
't,het,adv(gener)
Kind,en,n(sing)
en,ne,adv(neg)
is,zijn,"v(fin,pres,aux_cop)"
geen,geen,pron(indef)
Herbergsgast;,erbergst,n(sing)
Dies,eisen,n(sing)
was,zijn,"v(fin,past,aux_cop)"
't,het,conj(coord)
u,gij,"pron(pers,2,plu)"
tot,tot,adp()
een,een,art(indef)
last.,last,n(sing)
Gy,hij,adv(gener)
wilt,willen,"v(fin,pres,aux_cop)"
slechts,slecht,n(sing)
"kannen,",kan,v(infin)
"glazen,",glazen,v(infin)
Met,eten,adp()
"tuischen,",tussen,v(infin)
"vloeken,",vloeken,v(infin)
razen.,razen,v(infin)
Hoe,hoe,interj()
nauw,nauw,n(sing)
gy,gij,"pron(pers,2,plu)"
"ziet,",zien,"v(fin,pres,aux_cop)"
hoe,hoe,adv(inter)
nauw,nauw,"v(fin,pres,lex)"
gy,gij,"pron(pers,2,plu)"
"ziet,",zien,"v(fin,pres,aux_cop)"
Uw,uw,misc()
Kroeg,rogge,adj()
en,ne,adv(neg)
is,zijn,"v(fin,pres,aux_cop)"
'er,eer,adv(gener)
niet.,niet,adv(neg)
Vond,hond,adp()
gy,gij,"pron(pers,2,plu)"
'er,haar,pron(poss)
lekk're,lekker,n(sing)
"spyzen,",spijzen,n(sing)
En,ne,adv(neg)
hield,houden,"v(fin,pres,lex)"
men,men,pron(indef)
open,open,adj()
dis:,dat,pron(dem)
Gy,i,"pron(pers,1,sing)"
zoud,zullen,n(sing)
die,de,art(def)
stal,stal,n(sing)
dan,dan,adv(gener)
pryzen.,prijzen,v(infin)
Men,een,conj(coord)
vond,vinden,v(imp)
'er,hier,adv(gener)
u,gij,"pron(pers,2,plu)"
"gewis,",gewis,adv(gener)
O,ik,conj(coord)
Brasser!,vrouw+schrij,n(plu)
Maar,zij,n(sing)
op,op,adp()
't,het,art(def)
Levensbrood,evenbrood,n(sing)
Wilt,houden,n(sing)
gy,gij,"pron(pers,2,plu)"
niet,niet,adv(neg)
zyn,zijn,"v(fin,pres,aux_cop)"
genood.,genoot,n(sing)
Gy,hij,interj()
ziet,zien,"v(fin,pres,lex)"
daar,daar,adv(dem)
niet,niet,adv(neg)
ten,te+de,art(def)+adp()
"besten,",best,n(sing)
Om,hij,adp()
uwen,uw,pron(poss)
buik,buik,n(sing)
te,te,adp()
mesten.,mesten,v(infin)
Hoe,hoe,conj(coord)
nauw,nauw,n(sing)
gy,gij,"pron(pers,2,plu)"
"ziet,",zien,"v(fin,pres,aux_cop)"
hoe,hoe,adv(inter)
nauw,nauw,adv(gener)
gy,gij,"pron(pers,2,plu)"
ziet.,zien,"v(fin,pres,aux_cop)"
Uw,uw,adv(gener)
keuken,keuken,n(sing)
is,zijn,"v(fin,pres,aux_cop)"
'er,hier,pron(poss)
niet.,niet,adv(neg)
En,ne,adv(neg)
mogt,mogen,"v(fin,pres,aux_cop)"
die,de,art(def)
stal,stal,n(sing)
ook,ook,adv(gener)
"open,",open,v(infin)
Tot,hoofd,conj(coord)
Ontuchts,ontvicht,adj()
"schoole,",school,n(sing)
staan:,staan,v(infin)
Wat,haten,adv(gener)
zouden,zullen,"v(fin,past,aux_cop)"
groote,groot,adj()
hoopen,hopen,n(sing)
Geildriftig,eerdrijkig,adj()
derwaards,dewart,n(sing)
gaan?,gaan,v(infin)
Maar,haar,n(sing)
ô,:,n(sing)
de,de,art(def)
kuisheid,kuisheid,n(sing)
ziet,zien,"v(fin,pres,lex)"
men,men,pron(indef)
daar,daar,adv(dem)
In,ne,v(infin)
't,eten,n(sing)
ondertrouwde,ondertrouwen,adj()
"paar,",paar,n(sing)
En,na,conj(coord)
't,eten,n(sing)
"Kind,",eind,n(sing)
wiens,wie,pron(rel)
zuiver',zuiver,n(sing)
oogen,oog,v(infin)
Niet,eiben,n(sing)
onreins,onrein,adj()
aanzien,aanzien,n(sing)
mogen.,mogen,"v(fin,pres,aux_cop)"
Hoe,hoe,interj()
nauw,nauw,interj()
gy,gij,"pron(pers,2,plu)"
"ziet,",zien,"v(fin,pres,aux_cop)"
hoe,hoe,adv(inter)
nauw,nauw,"v(fin,pres,lex)"
gy,gij,"pron(pers,2,plu)"
"ziet,",zien,"v(fin,pres,aux_cop)"
Uw,gij,adv(inter)
Kuf,heffen,adv(gener)
en,ne,adv(neg)
is,zijn,"v(fin,pres,aux_cop)"
'er,eer,adv(gener)
niet.,niet,adv(neg)
Weg!,eeg,num(indef)
met,met,adp()
uw',uw,pron(poss)
medestanders.,medestaard,n(plu)
Schoon,chogen,n(sing)
ieder,ieder,adv(gener)
't,eten,n(sing)
Kind,inden,n(sing)
"verstiet,",verstoten,"v(fin,pres,lex)"
Ik,koken,"pron(pers,3,sing)"
wil,willen,"v(fin,pres,aux_cop)"
hem,hij,"pron(pers,3,sing)"
zo:,zo,n(sing)
want,want,conj(coord)
anders,anders,adv(gener)
Was,as,n(sing)
Jezus,ezus,n(prop)
Jezus,ezus,n(prop)
niet.,niet,adv(neg)
't,eten,adv(gener)
Was,as,n(prop)
"noodig,",nodig,adj()
dat,dat,conj(subord)
"hy,",hij,"pron(pers,3,sing)"
als,als,conj(subord)
hy,hij,"pron(pers,3,sing)"
"quam,",komen,"v(fin,past,lex)"
Die,ie,conj(coord)
armoede,armoede,n(sing)
op,op,adp()
zich,zich,"pron(refl,3,sing)"
nam.,nemen,"v(fin,past,lex)"
Dus,huis,adv(gener)
moest,moeten,"v(fin,past,lex)"
hy,hij,"pron(pers,3,sing)"
ons,wij,"pron(pers,1,plu)"
"verryken,",verrijzen,v(infin)
En,een,conj(coord)
Zions,ioom,n(prop)
Koning,honing,n(sing)
blyken.,blijken,n(plu)
'k,koken,misc()
Ga,aan,interj()
naar,naar,misc()
de,de,misc()
"stal,",stal,n(sing)
'k,kok,misc()
ga,gaan,"v(fin,pres,lex)"
naar,naar,"v(fin,pres,lex)"
de,de,art(def)
stal:,stal,n(sing)
Myn,een,adp()
Jezus,ezus,n(prop)
is,zijn,"v(fin,pres,aux_cop)"
'er,eer,adv(gener)
al.,al,num(indef)
